time,link,display name,likes,shares,saves,comments
2024-06-19,https://www.tiktok.com/t/ZPREhtW7V/,SBS News,"3,926",166,395,19
2024-06-21,https://www.tiktok.com/t/ZPREken8X/,24/7clips,18,14,2,
2024-06-20,https://www.tiktok.com/t/ZPREhc7xY/,Philip DeFranco,141.2K,"3,072","8,817","2,686"
2024-06-20,https://www.tiktok.com/t/ZPREhg9Vq/,MetroUK,1.6M,418.9K,123.9K,38.2K
2024-06-20,https://www.tiktok.com/t/ZPREh7sUS/,Daily Mail,173.4K,31.6K,10K,"1,862"
2024-06-21,https://www.tiktok.com/t/ZPREhE5cR/,🫣Just here for the wife🤭,"2,414",509,384,507
2024-06-20,,tiin.worldnews,5,Share,0,1
2024-06-19,https://www.tiktok.com/t/ZPREhptBo/,The News Movement,33.5K,"4,838","1,616",699
2024-05-15,https://www.tiktok.com/t/ZPREhTCw6/,tiin.worldnews,559,57,45,810
2024-06-18,https://www.tiktok.com/t/ZPREk1yn8/,CBS Mornings,22.8K,"1,994","1,238",664
2024-06-19,https://www.tiktok.com/t/ZPREkJLeK/,World news briefs,25,3,0,5
2022-03-16,https://www.tiktok.com/t/ZPREhEVxc/,npr,12.9K,93,77,501
2024-06-19,https://www.tiktok.com/t/ZPREhspj6/,Daily Mail,275K,58.3K,15.2K,"9,460"
2023-11-18,https://www.tiktok.com/t/ZPREkJ3NL/,Panda,633,17,92,157
2022-03-04,,Bloomberg Originals,"1,330",35,19,91
2023-11-02,https://www.tiktok.com/t/ZPREh4Tj6/,Bicycle Works,"2,061",527,295,68
2022-09-23,https://www.tiktok.com/t/ZPREhGgGM/,NowThis Earth,147,Share,6,8
2023-02-24,,Newsweek,"6,453",305,386,"3,712"
2023-11-15,https://www.tiktok.com/t/ZPREhVTNJ/,YourCommieDad,353,1,20,33
2024-06-21,https://www.tiktok.com/t/ZPREhEJ1n/,bllaklabel,121,3,6,18
2024-06-21,https://www.tiktok.com/t/ZPREhwa32/,The Daily Show,162.1K,15.2K,10.2K,"4,630"
2022-04-26,https://www.tiktok.com/t/ZPREhGV5g/,Newsweek,"1,894",74,54,928
2023-09-13,https://www.tiktok.com/t/ZPREhgFkg/,The Forbidden News,15.2K,"5,239","1,494","1,355"
2024-06-19,https://www.tiktok.com/t/ZPREkdNCn/,CBSEveningNews,13.5K,439,888,"1,661"
2024-06-20,https://www.tiktok.com/t/ZPREhwytP/,The Associated Press,"1,097",78,78,126
2023-12-19,,Harry,18.6K,107,941,"1,104"
2024-06-20,https://www.tiktok.com/t/ZPREhqWr7/,CBSEveningNews,"4,301",286,351,277
2023-11-16,https://www.tiktok.com/t/ZPREhtHsN/,CNN,156.8K,18K,18.3K,13.8K
2024-06-21,https://www.tiktok.com/t/ZPREhcomH/,Bloomberg Politics,260,4,22,80
2024-05-18,https://www.tiktok.com/t/ZPREkdJ8y/,URAAHUB,539,33,33,116
2024-04-05,https://www.tiktok.com/t/ZPREhvmKk/,Chad,"1,682",129,137,317
