time,link,display name,likes,shares,saves,comments
2024-05-15,,CNN,50.9K,"3,914","3,420","4,263"
2024-06-20,https://www.tiktok.com/t/ZPREhtQCP/,CNN,668,20,24,264
2024-06-26,,NewsNation,639,15,28,398
2024-06-26,https://www.tiktok.com/t/ZPREhtHXD/,Trish Regan,802,21,23,146
2024-06-26,https://www.tiktok.com/t/ZPREkJXNB/,MSNBC,"7,949",186,287,750
2024-06-26,,WestSeaSpirit,127,2,3,9
2024-06-26,https://www.tiktok.com/t/ZPREhncYY/,manny2021,41,1,1,11
2024-06-25,https://www.tiktok.com/t/ZPREhvn4e/,MSNBC,"5,864",85,169,"1,151"
2024-01-10,https://www.tiktok.com/t/ZPREhqrwy/,CNN,44.2K,895,"2,252","3,304"
2024-06-26,https://www.tiktok.com/t/ZPREhwLMb/,Mike Thomas,94,4,5,5
2024-06-25,https://www.tiktok.com/t/ZPREkdMJT/,user41781833441,344,11,22,189
2024-06-26,https://www.tiktok.com/t/ZPREkewL1/,Truth Wave Media,33,Share,1,1
2024-06-25,https://www.tiktok.com/t/ZPREh4FPf/,Brent Natzle,497,15,46,411
2024-06-25,https://www.tiktok.com/t/ZPREhKswe/,Link Lauren,15.2K,376,508,"1,433"
2024-05-15,https://www.tiktok.com/t/ZPREhwDqk/,MSNBC,"8,832",202,263,"1,811"
2024-06-26,https://www.tiktok.com/t/ZPREhTQqt/,kuching90,12,5,1,0
2024-06-21,,manny2021,24,Share,1,6
2024-06-25,https://www.tiktok.com/t/ZPREhThhb/,ConvictDonald,203,3,8,64
2024-06-20,https://www.tiktok.com/t/ZPREhtNK6/,David Feldman,158,Share,7,21
2024-06-23,https://www.tiktok.com/t/ZPREhbd7H/,MSNBC,"8,419",249,386,"2,273"
2024-06-25,https://www.tiktok.com/t/ZPREkJqYk/,The News Network,16,Share,0,2
2024-06-26,https://www.tiktok.com/t/ZPREh3UXS/,CountdownWithKO,122,2,5,8
2024-06-25,https://www.tiktok.com/t/ZPREkJTXD/,Stephanie L,69,3,4,16
2024-06-24,https://www.tiktok.com/t/ZPREhVHk4/,AfrikTimes,120,2,4,9
2024-06-15,https://www.tiktok.com/t/ZPREhn8SU/,TrumpToday,71,8,14,24
2024-06-16,https://www.tiktok.com/t/ZPREhEB9y/,k star,12,3,0,1
2023-05-10,https://www.tiktok.com/t/ZPREhtktX/,Treasures,339,29,21,82
2024-06-14,https://www.tiktok.com/t/ZPREk15u7/,TrumpToday,34,6,6,7
2023-05-11,https://www.tiktok.com/t/ZPREhpsNG/,lastIheard,175,11,11,72
2024-03-26,https://www.tiktok.com/t/ZPREhvsX6/,Unwokeism,32.2K,742,"1,988","1,134"
2024-06-25,https://www.tiktok.com/t/ZPREkRd5W/,Rebecca Aguilar,61,Share,6,27
2024-06-21,https://www.tiktok.com/t/ZPREhWRj1/,OccupyDemocrats,"1,358",46,83,188
2023-09-25,https://www.tiktok.com/t/ZPREhgtyo/,planetnewsflash,44,2,1,1
2023-09-27,https://www.tiktok.com/t/ZPREhsreC/,USA 2024,"8,935",61,639,110
2024-06-10,https://www.tiktok.com/t/ZPREk1VmG/,Jose Marquez,11,Share,0,3
2024-06-25,https://www.tiktok.com/t/ZPREhERFW/,MxM News,342,60,20,168
2023-05-11,https://www.tiktok.com/t/ZPREhoquY/,The.Real.Miss.JamieLyn🇺🇸🤠,516,15,23,49
2022-10-12,https://www.tiktok.com/t/ZPREhnSUA/,Liberal stupidity,81,4,4,5
2024-06-25,https://www.tiktok.com/t/ZPREk1epC/,United Front Intl,59,6,5,8
2023-01-17,https://www.tiktok.com/t/ZPREhtXhK/,Wiifty,"8,216",216,885,148
2024-06-13,https://www.tiktok.com/t/ZPREhgg5U/,nicky b0bby,42,7,3,2
2024-06-17,https://www.tiktok.com/t/ZPREhwFRA/,Joshua Jake,294.4K,19.2K,21.3K,"9,307"
2023-07-01,https://www.tiktok.com/t/ZPREhE9CD/,Kalob Nichols,"1,008",29,70,147
2024-04-21,https://www.tiktok.com/t/ZPREhWpAV/,Controversial Clashes,146,4,13,11
2024-06-20,https://www.tiktok.com/t/ZPREhKFSG/,Marylandpost,18,Share,0,0
2024-06-17,https://www.tiktok.com/t/ZPREhTf3k/,Dash Dobrofsky,10.3K,295,484,"4,257"
2024-02-08,https://www.tiktok.com/t/ZPREhTMxP/,Joshua Jake,"9,381",440,786,"2,969"
2024-06-13,https://www.tiktok.com/t/ZPREhn8Uc/,IMPAULSIVE,474.1K,40K,33K,"3,104"
2024-04-27,https://www.tiktok.com/t/ZPREkeP4F/,CNN,12.6K,"1,889",681,"2,522"
2024-06-20,https://www.tiktok.com/t/ZPREhbWkH/,NewsNation,17.7K,230,690,"1,666"
2024-06-25,https://www.tiktok.com/t/ZPREkeAUx/,Newsweek,14.4K,362,630,617
2024-06-23,,Daily Mail,"7,487",215,364,893
2024-02-09,,CNN,14.2K,463,860,"3,561"
2024-06-24,https://www.tiktok.com/t/ZPREh4vpF/,New York Post | News,18K,301,507,"2,477"
2024-04-28,https://www.tiktok.com/t/ZPREhqxXD/,Greg - The woke run from me,"2,346",194,131,664
2024-06-25,https://www.tiktok.com/t/ZPREkegxq/,Daily Mail,32.7K,"6,969","2,504","2,098"
2024-06-21,https://www.tiktok.com/t/ZPREhqfV7/,MSNBC,"7,290",89,215,"1,367"
2024-06-23,,nbcnews,66.4K,692,"2,369","5,302"
2023-03-11,https://www.tiktok.com/t/ZPREhwde7/,Bandit 7878,"8,630",219,363,944
2023-05-14,https://www.tiktok.com/t/ZPREhgbmk/,Paulius,452,17,25,70
2024-06-21,https://www.tiktok.com/t/ZPREhV4fD/,CNN,58.7K,"2,016","3,065","5,176"
2024-06-25,,Dan Bongino,"1,655",69,83,136
2024-06-24,https://www.tiktok.com/t/ZPREhv5wM/,Hal_for_NY__,21.4K,805,784,"2,700"
2024-06-25,https://www.tiktok.com/t/ZPREhpw8L/,Dan Bongino Show,174,6,10,62
2023-05-11,https://www.tiktok.com/t/ZPREhvY7c/,CNN,1.5M,62.4K,114.1K,42.7K
2024-06-17,https://www.tiktok.com/t/ZPREhEMht/,MSNBC,65K,"2,518","2,770",16K
2024-06-24,https://www.tiktok.com/t/ZPREhbVrV/,Ruck Talk,397,3,6,281
2024-06-24,,Azi.Paybarah,"1,601",67,71,710
2024-06-25,https://www.tiktok.com/t/ZPREhqYuD/,Mike The Politician,109,10,6,67
2022-08-13,https://www.tiktok.com/t/ZPREkJafC/,batrickpurach,"1,894",123,70,116
2024-06-21,https://www.tiktok.com/t/ZPREhVPAt/,CNN,25K,"1,884","1,095",783
2023-05-12,https://www.tiktok.com/t/ZPREke5Dc/,Sam,466,13,13,23
2023-06-14,https://www.tiktok.com/t/ZPREhW3aX/,CNN,48.3K,"2,153","1,690","5,655"
2023-10-05,https://www.tiktok.com/t/ZPREhGcKS/,ShePeddyBoop,192,6,14,27
2023-06-21,https://www.tiktok.com/t/ZPREhGFQL/,TonyNewsNow,"1,182",215,114,196
2023-12-30,https://www.tiktok.com/t/ZPREhp9T1/,News_To_Know,444,15,34,106
2024-05-18,https://www.tiktok.com/t/ZPREk1Xf1/,Wonder,"3,612",513,249,922
2024-06-25,https://www.tiktok.com/t/ZPREhTE7h/,Jesse Watters,57.6K,"2,193","2,445","2,153"
2024-06-13,,IMPAULSIVE,773.1K,50.8K,35.7K,"3,352"
2024-06-14,https://www.tiktok.com/t/ZPREhp1oe/,TheRepublicanJournal,34.8K,13.5K,"3,648","2,191"
2023-08-10,https://www.tiktok.com/t/ZPREh74e3/,Unwokeism,13.1K,"1,035","1,576",935
2024-02-06,https://www.tiktok.com/t/ZPREkJ5VN/,CNN,11.1K,322,631,"1,277"
2020-07-30,https://www.tiktok.com/t/ZPREhKJmG/,trump 2020,9,Share,0,0
2024-05-13,https://www.tiktok.com/t/ZPREhwNRu/,Michael Solakiewicz,"1,497",134,146,491
2023-05-11,https://www.tiktok.com/t/ZPREhTDKy/,🎭𝐇𝓞σ𝐃€𝐃ƤΔŦͭŘͪƗͤØŦ🎭 ᵃᶰᵒᶰ,"1,629",101,162,249
2024-06-21,https://www.tiktok.com/t/ZPREhnA9j/,MSNBC,12.1K,396,663,"1,081"
2024-06-04,,Missouri_Lady,"1,364","1,586",314,"1,325"
2024-06-25,https://www.tiktok.com/t/ZPREh3k7j/,imasarenas,34,Share,1,1
2023-08-04,https://www.tiktok.com/t/ZPREhcG3A/,David Pakman,80.1K,"2,304","5,943","5,136"
2024-06-05,https://www.tiktok.com/t/ZPREkeDtK/,𝑴𝒂𝒎𝒂  𝑾𝒆𝒏𝒅𝒚,18.5K,"1,690","1,772","6,788"
2020-10-25,https://www.tiktok.com/t/ZPREhpsUQ/,rgomusicly,572K,"3,876",13.1K,"9,180"
2024-06-23,https://www.tiktok.com/t/ZPREkd9bo/,1776TheWakeninq,21.5K,891,615,"7,662"
2023-04-04,https://www.tiktok.com/t/ZPREh4UD7/,Summer 🫠,561.4K,"8,650",41.7K,"5,127"
2024-06-21,https://www.tiktok.com/t/ZPREkd2xj/,MSNBC,14K,308,581,"6,353"
2024-06-23,https://www.tiktok.com/t/ZPREh7Hav/,Dash Dobrofsky,"7,704",217,283,"3,084"
2024-06-20,https://www.tiktok.com/t/ZPREhWqfw/,Trish Regan,40,1,2,4
2023-08-31,https://www.tiktok.com/t/ZPREhcpYM/,Donald_Newshd,299.3K,24.4K,19.8K,"9,229"
2024-06-05,https://www.tiktok.com/t/ZPREhtEmU/,From the Producer’s desk,"1,684",65,116,306
2023-11-05,https://www.tiktok.com/t/ZPREh79To/,Supreme Shorts,275.6K,"1,177",17.3K,"1,816"
2024-06-25,https://www.tiktok.com/t/ZPREkeRP5/,1776TheWakeninq,173,3,6,62
