time,link,display name,likes,shares,saves,comments
2024-04-10,https://www.tiktok.com/t/ZPREhvNjd/,C-SPAN,46.9K,"6,336","3,062","2,313"
2024-06-20,https://www.tiktok.com/t/ZPREh79eS/,Hal_for_NY__,23.8K,663,843,"1,517"
2024-02-29,https://www.tiktok.com/t/ZPREhE6My/,Newsweek,"1,398",33,47,487
2024-04-22,https://www.tiktok.com/t/ZPREhpdqe/,4ThePeopleByThePeople,"1,076",27,45,54
2023-07-13,https://www.tiktok.com/t/ZPREhpTgE/,Tokyo Sand,"6,310",108,117,657
2024-06-19,https://www.tiktok.com/t/ZPREh4gAf/,Mike The Politician,124,7,6,23
2023-11-30,https://www.tiktok.com/t/ZPREhpAs7/,Dee,308,1,8,50
2024-06-04,https://www.tiktok.com/t/ZPREh4g2L/,Newsweek,"7,936",238,358,"1,113"
2024-04-19,https://www.tiktok.com/t/ZPREhsJ6K/,24hourschlock,184,12,9,6
2024-02-02,https://www.tiktok.com/t/ZPREhVMjX/,POLITICAL MOM,224,2,8,106
2022-12-10,https://www.tiktok.com/t/ZPREhoEad/,Kara,"2,355",158,98,500
2023-10-03,https://www.tiktok.com/t/ZPREhGXjA/,FLORIDA TODAY,524,57,34,55
2024-03-08,https://www.tiktok.com/t/ZPREk16W1/,Newsweek,934,82,47,214
2024-06-26,https://www.tiktok.com/t/ZPREhtHaF/,JoshuaRobinsonCrypto,42,Share,1,7
2024-02-06,https://www.tiktok.com/t/ZPREhvTFq/,Newsweek,"1,805",53,94,"1,276"
2024-01-24,https://www.tiktok.com/t/ZPREhnH64/,CNN,"1,643",39,61,115
2024-01-28,https://www.tiktok.com/t/ZPREhKfD5/,briantylercohen,10.3K,137,279,300
2024-06-19,https://www.tiktok.com/t/ZPREhTWbA/,Rebekah Jones,10.3K,250,360,544
2024-03-14,,ABC News,14.3K,522,520,"1,037"
2024-05-17,https://www.tiktok.com/t/ZPREhsf7c/,Newsweek,"1,108",23,54,480
2024-05-22,https://www.tiktok.com/t/ZPREhTmoU/,Chasing Oz,"3,474",49,59,157
2023-01-27,https://www.tiktok.com/t/ZPREk1QYp/,chattykitty,513,9,26,
2023-07-12,https://www.tiktok.com/t/ZPREhXVxH/,News TV,846,134,66,36
2021-04-01,https://www.tiktok.com/t/ZPREkJfUL/,Abe Won’t Be Silent,"5,880",89,16,182
2023-10-12,https://www.tiktok.com/t/ZPREkJyDr/,FloridaMan,190,34,9,16
2023-04-01,https://www.tiktok.com/t/ZPREhTfto/,David Pakman,"5,204",111,198,132
