time,link,display name,likes,shares,saves,comments
2024-06-07,https://www.tiktok.com/t/ZPRErYVfM/,Legit Politic,1,Share,1,0
2024-06-05,,KEL1776.2,147,3,7,24
2024-06-08,https://www.tiktok.com/t/ZPRErMsBb/,Ryan,563,12,23,45
2023-11-09,https://www.tiktok.com/t/ZPREMKDJt/,MAGA2024,11.1K,138,"1,381","1,748"
2023-12-06,https://www.tiktok.com/t/ZPREM7jv6/,Gavin Newsom,37.1K,498,841,"9,561"
2024-06-19,https://www.tiktok.com/t/ZPRErMFT1/,The Dogwood,57,3,3,5
2023-06-17,https://www.tiktok.com/t/ZPREre2u8/,JDD1978,496,45,152,24
2023-02-06,https://www.tiktok.com/t/ZPREMKGFD/,✌🏻LRobb,"2,389",272,136,619
2024-05-30,https://www.tiktok.com/t/ZPRErRtUg/,ᗪEᒪIGᕼTᖴᑌᒪ_ᗪIᔕTᖇᗩᑕTIOᑎ,"2,550",202,167,392
2024-06-05,https://www.tiktok.com/t/ZPRErN7nr/,KEL1776.2,253,13,11,19
2024-03-06,https://www.tiktok.com/t/ZPREMcAvy/,carrolinaworld,57,5,3,1
2024-05-12,https://www.tiktok.com/t/ZPRErRtaD/,Trump Media,138,4,7,25
2023-04-22,https://www.tiktok.com/t/ZPREr8JY9/,PRCONSERVATIVE,"2,280",664,273,259
2024-05-31,https://www.tiktok.com/t/ZPRErdNMG/,Lauren Lane,141.2K,26.1K,10.2K,"1,634"
2024-06-20,https://www.tiktok.com/t/ZPREM3WeQ/,Tara Palmeri,36,1,0,3
2024-03-06,https://www.tiktok.com/t/ZPREMTHNo/,fiuaenta8io,154,Share,2,2
2024-02-13,https://www.tiktok.com/t/ZPRErRyXJ/,MeidasTouch,"5,705",279,325,"3,472"
2024-04-02,https://www.tiktok.com/t/ZPREMEyWr/,staytunednbc,211,27,13,33
2023-06-08,https://www.tiktok.com/t/ZPRErLbkJ/,Crazy Political Moments,882,98,67,15
2023-10-07,https://www.tiktok.com/t/ZPREr8Mps/,Brett,63,50,8,31
2024-05-28,https://www.tiktok.com/t/ZPREMTVdm/,JoseCanYouSee,779,40,35,88
2024-06-13,,The Associated Press,"1,448",90,109,"3,092"
2023-03-28,https://www.tiktok.com/t/ZPRErdoxW/,NowThis Impact,"6,361",252,264,"2,663"
2024-06-13,https://www.tiktok.com/t/ZPREMcEdF/,C-SPAN,"6,362",390,501,"5,384"
2024-06-23,https://www.tiktok.com/t/ZPRErRayB/,Hal_for_NY__,20.5K,745,754,"2,496"
2021-10-08,https://www.tiktok.com/t/ZPREMtsmv/,Left or Right,"7,174",73,90,"3,659"
2021-11-03,https://www.tiktok.com/t/ZPRErLW7P/,mermaid.inc,456,46,1,100
2024-06-16,https://www.tiktok.com/t/ZPREMwYDP/,Explain America,776,68,74,79
2023-09-25,https://www.tiktok.com/t/ZPREMWYoK/,David Pakman,78.7K,"2,787","3,942","9,968"
2024-06-08,https://www.tiktok.com/t/ZPREMwKKH/,UrbanMonk,55,1,4,13
2024-03-05,https://www.tiktok.com/t/ZPREMWpcv/,DannyDoesPolitics 🇺🇸,5,3,3,1
2023-10-10,https://www.tiktok.com/t/ZPRErJ73q/,✌🏻LRobb,"1,070",170,94,43
2024-01-24,https://www.tiktok.com/t/ZPRErNcBB/,cbsnews,23.2K,"1,497","1,340","4,577"
2024-06-24,https://www.tiktok.com/t/ZPRErj57J/,Bloomberg Opinion,179,5,6,19
2023-03-25,https://www.tiktok.com/t/ZPREr6abJ/,hobbsy_tas,913.5K,13.6K,69.4K,"8,429"
2023-01-18,https://www.tiktok.com/t/ZPREre9Tv/,MiddleweightPolitics,481,8,30,8
2024-04-28,https://www.tiktok.com/t/ZPREr6x7K/,Link Lauren,58.9K,"2,055","2,569","3,013"
2023-07-31,https://www.tiktok.com/t/ZPRErj2n7/,Pierce Burton,"2,905",307,486,360
2022-02-05,https://www.tiktok.com/t/ZPREMEy9x/,Anthem Hat Co.,720,7,16,51
2024-06-13,https://www.tiktok.com/t/ZPRErdwcB/,Trump Media,372,20,13,93
2023-10-16,https://www.tiktok.com/t/ZPREMcQyc/,MAGA2024,197.6K,"2,855",15K,"5,467"
2023-07-30,https://www.tiktok.com/t/ZPRErJ244/,XO_Brutus,15.4K,"1,525",775,"3,543"
