time,link,display name,likes,shares,saves,comments
2024-06-17,,CBS Mornings,484,70,27,34
2024-06-25,https://www.tiktok.com/t/ZPREMxuy6/,Dr.LaurenCook | Psychologist,22,3,1,0
2024-06-20,https://www.tiktok.com/t/ZPREMuYRX/,cnbc,52,3,11,6
2024-06-18,https://www.tiktok.com/t/ZPREMGVKq/,Local Lawyer Connector,46,4,,5
2024-06-21,https://www.tiktok.com/t/ZPREMpx61/,Next News Network,16,1,1,2
2023-01-31,https://www.tiktok.com/t/ZPREMmb3B/,GMA3,92,23,12,3
2024-06-24,,Monica Harkins WDRB,130,9,8,11
2024-06-23,https://www.tiktok.com/t/ZPREM5MFf/,Julie 🌟Systems Gal,85,3,7,3
2024-06-18,https://www.tiktok.com/t/ZPREMmUcs/,ABC News Live,40,1,4,5
2024-06-21,https://www.tiktok.com/t/ZPREMDv99/,Thundrr,"2,624",1,,11
2024-06-19,https://www.tiktok.com/t/ZPREMP4dm/,listentotheplanet,11,Share,0,2
2024-06-19,https://www.tiktok.com/t/ZPREMV7Lg/,WGN9Chicago,17,7,5,1
2023-05-23,https://www.tiktok.com/t/ZPREMGps9/,Gabb Wireless Official,361,49,4,
2023-01-30,https://www.tiktok.com/t/ZPREM93hv/,📺The News Girl 📰,11.7K,"2,219",603,793
2023-02-02,https://www.tiktok.com/t/ZPREMxFYj/,CNN,589,45,26,72
2024-06-24,https://www.tiktok.com/t/ZPREMUcX2/,Andrea Mynatt,182,2,,57
2024-06-18,https://www.tiktok.com/t/ZPREMGaPw/,7NEWS Australia,136,10,11,27
2024-06-17,https://www.tiktok.com/t/ZPREMf3a4/,abc7chicago,100,6,8,18
2023-01-31,https://www.tiktok.com/t/ZPREMCJ6h/,mom.uncharted,"2,008",115,168,48
2023-05-02,https://www.tiktok.com/t/ZPREMQ3tH/,GMA3,534,120,87,20
2024-06-18,,MSNBC,109,Share,5,10
2024-06-24,https://www.tiktok.com/t/ZPREMpaSj/,marcusshadwick,308,8,,8
2024-06-18,,cnbc,71,30,10,4
2024-06-18,https://www.tiktok.com/t/ZPREMyGqV/,📺The News Girl 📰,"4,827",227,237,164
2024-06-23,,Kindred Collective,32,Share,4,2
2021-04-14,https://www.tiktok.com/t/ZPREMxQCj/,cbsnews,32.6K,81,328,97
2024-06-18,https://www.tiktok.com/t/ZPREMqbce/,Moon Boots,3,1,0,1
2024-06-23,https://www.tiktok.com/t/ZPREM5tSw/,Desiree Brazil,257,Share,,25
2023-09-15,https://www.tiktok.com/t/ZPREMC1fd/,mom.uncharted,"8,031",822,776,32
2024-06-18,https://www.tiktok.com/t/ZPREMfG3s/,Chris | Social Media Professor,45,2,10,12
2024-06-20,https://www.tiktok.com/t/ZPREM53bJ/,Michael Smerconish,43,1,2,1
2024-06-19,https://www.tiktok.com/t/ZPREMAXMY/,Alexandra Hunt,44,1,0,6
2024-06-20,https://www.tiktok.com/t/ZPREMsodJ/,Fair Fight Initiative,24,Share,0,0
2024-06-24,https://www.tiktok.com/t/ZPREMCGFX/,Simples Agency,286,1,,0
2024-06-18,https://www.tiktok.com/t/ZPREM9wrK/,KFI AM 640,47,7,4,1
2023-05-31,https://www.tiktok.com/t/ZPREMmg3c/,TeuxDeux | Simple Productivity,28,3,5,0
2024-06-19,https://www.tiktok.com/t/ZPREMXNco/,GMA3,28,1,0,0
2021-07-15,https://www.tiktok.com/t/ZPREMgHGN/,Yahoo News,16.9K,438,207,881
2024-06-10,https://www.tiktok.com/t/ZPREMgYhp/,ABC7LA,223,25,22,17
2024-06-18,https://www.tiktok.com/t/ZPREM5bKG/,thecurrencychannel3,964,2,,3
2024-06-18,https://www.tiktok.com/t/ZPREMUavq/,Chainsaw Reacts,36,Share,3,1
2024-05-15,https://www.tiktok.com/t/ZPREMbQfk/,Tyler Dickerhoof,117,8,13,15
2024-06-20,https://www.tiktok.com/t/ZPREMxhCu/,Michael Smerconish,16,1,0,0
2024-06-18,https://www.tiktok.com/t/ZPREMVMbp/,ABC7 News,124,26,8,7
2024-06-20,https://www.tiktok.com/t/ZPREM4jmr/,Michael Smerconish,23,1,0,1
2024-06-24,https://www.tiktok.com/t/ZPREMm4XW/,"Muhammad Aadil, M.D.",79,11,4,3
2024-06-18,https://www.tiktok.com/t/ZPREMfx2E/,ABC World News Tonight,"3,279","1,226",390,265
2024-06-15,https://www.tiktok.com/t/ZPREMU1GT/,CelebrityStories666,"1,766",30,113,145
2022-03-22,https://www.tiktok.com/t/ZPREMmQoD/,MSNBC,164.5K,"8,247","3,046",17.7K
2023-01-30,https://www.tiktok.com/t/ZPREMpBu7/,LivingSpreeKween,3,2,0,2
2024-06-25,https://www.tiktok.com/t/ZPREMG6gP/,Jerry Torres,78,Share,,0
2024-06-11,https://www.tiktok.com/t/ZPREMbn7A/,MIDNIGHT123,"2,587",84,122,199
2023-09-30,https://www.tiktok.com/t/ZPREMX1Xv/,CapitolHillHighlights,39,7,3,27
2024-06-17,https://www.tiktok.com/t/ZPREM9wgU/,TODAY Show,17.8K,"3,242","1,575",465
2024-06-22,https://www.tiktok.com/t/ZPREMUuMB/,MetroUK,37.2K,"3,204","1,965","2,264"
2024-06-18,https://www.tiktok.com/t/ZPREMPJbF/,Charlene Taylor,26,2,5,1
2024-06-13,https://www.tiktok.com/t/ZPREMqkA4/,Fake Weights,"2,237",2,,
2023-02-02,https://www.tiktok.com/t/ZPREMmjty/,Quique,167,16,9,21
2024-06-18,https://www.tiktok.com/t/ZPREMpCp2/,Godwin,18,Share,1,0
2024-06-19,,Andy Saldaña,16,Share,0,0
2024-06-22,https://www.tiktok.com/t/ZPREMXvec/,NowThis Impact,59.9K,"3,566","2,419","1,901"
2024-06-21,https://www.tiktok.com/t/ZPREMsuAm/,BBC News,40.5K,740,"2,543","3,010"
2024-06-19,,David Pakman,"1,454",12,43,142
2023-11-09,https://www.tiktok.com/t/ZPREMGLbU/,USA 2024,18.2K,99,"1,452",234
2024-06-20,https://www.tiktok.com/t/ZPREMCrxW/,MSNBC,11.2K,279,393,"3,155"
2024-06-20,,Ellie | Single Mom Life,14,1,1,3
2024-06-04,https://www.tiktok.com/t/ZPREMaEDR/,Dujuan Thomas,30,2,0,1
2024-06-19,https://www.tiktok.com/t/ZPREMmF21/,Jennifer Jolly,3,1,0,2
2024-04-18,https://www.tiktok.com/t/ZPREMUNT4/,MSNBC,10.1K,395,339,822
2024-06-12,https://www.tiktok.com/t/ZPREMqfhp/,GB News,"7,462","1,366",690,"1,449"
2024-06-25,https://www.tiktok.com/t/ZPREMtkpy/,marcusjdaily,441,1,,0
2023-05-24,https://www.tiktok.com/t/ZPREMAQJh/,"Monika Roots, MD, FAPA",17,Share,3,0
2024-06-19,https://www.tiktok.com/t/ZPREMsm5X/,Al Jazeera English,335,9,29,17
2022-12-26,https://www.tiktok.com/t/ZPREM9EP6/,HOTSPOT,128.4K,"1,328","9,402","1,234"
2024-06-18,https://www.tiktok.com/t/ZPREM5Vkp/,TAG24 NEWS,33,Share,2,0
2023-09-26,https://www.tiktok.com/t/ZPREMuKnx/,David Pakman,698.2K,46.8K,48.5K,18.9K
2024-06-25,https://www.tiktok.com/t/ZPREMbSDd/,"Med Explained 2 You, LLC",337,44,,12
2023-01-14,https://www.tiktok.com/t/ZPREMgXX2/,Conservative Heat,"2,317",47,199,69
2023-05-26,https://www.tiktok.com/t/ZPREMqmsr/,mednews360,1,3,1,0
2023-01-23,https://www.tiktok.com/t/ZPREMP5PS/,The Megyn Kelly Show,"5,638",33,137,82
2023-01-06,https://www.tiktok.com/t/ZPREMD6Dg/,positivelifeandquotes,242.9K,13.1K,17.5K,"3,070"
2023-11-15,https://www.tiktok.com/t/ZPREMHjwc/,Dr. Z 🧠 Neurosurgery,29.3K,"1,218","3,057",666
2024-06-25,https://www.tiktok.com/t/ZPREMmxA2/,Ryan Robinson | Blogging Tips,81,1,,0
2023-03-27,https://www.tiktok.com/t/ZPREMX182/,The Standard,105K,10.5K,"9,458",10.1K
2023-08-24,https://www.tiktok.com/t/ZPREMycTd/,Benny Johnson,"5,011",531,355,223
2024-02-21,https://www.tiktok.com/t/ZPREMAckL/,Cameron Walker,305.8K,"3,754",18.9K,"8,834"
2023-12-19,https://www.tiktok.com/t/ZPREMUuqY/,Clout News,"7,442",38,482,300
2023-07-15,https://www.tiktok.com/t/ZPREMXw5m/,mom.uncharted,14.3K,309,478,292
2023-08-07,https://www.tiktok.com/t/ZPREMSbNL/,Unwiring,0,Share,0,0
2023-11-27,https://www.tiktok.com/t/ZPREMcYC6/,Royal News Channel,98.2K,"1,224","7,731","3,265"
2024-01-05,https://www.tiktok.com/t/ZPREMErUF/,Damian Balgobin Show,19.2K,379,"1,818",388
2024-01-25,https://www.tiktok.com/t/ZPRErJX9k/,nalea,79.8K,"6,347","7,767","3,459"
2023-04-09,https://www.tiktok.com/t/ZPREre9xo/,911 VIDEO NEWS,81.2K,"1,610","4,763","1,565"
2024-01-16,https://www.tiktok.com/t/ZPREreUPk/,Azi.Paybarah,"2,474",215,427,239
2023-04-21,https://www.tiktok.com/t/ZPREMojrU/,Political Commentator Kaivan,"8,676",183,598,"1,231"
2023-05-06,https://www.tiktok.com/t/ZPRErjXmv/,BrainMD,"2,940",448,638,105
2023-11-09,https://www.tiktok.com/t/ZPREr6p8u/,CNN,42.4K,615,"2,373","2,846"
2023-12-31,https://www.tiktok.com/t/ZPRErJhkU/,nalea,"1,986",87,176,223
2024-06-25,https://www.tiktok.com/t/ZPREr8Hct/,TheRealEannise|Content Curator,251,Share,,10
2024-06-06,https://www.tiktok.com/t/ZPREMctMy/,Mr Ballen FanClub,"1,958",42,142,68
2024-01-22,https://www.tiktok.com/t/ZPRErjaXo/,Freedom.On.Fire,875,202,140,352
2023-08-31,https://www.tiktok.com/t/ZPRErNcCA/,MAGA 👑 QUEEN,17K,675,"1,263",540
2023-08-24,https://www.tiktok.com/t/ZPREM3Xuh/,MIAMI_REPUBLICAN2.0,"5,964",489,442,213
2023-12-08,https://www.tiktok.com/t/ZPREMKv6W/,David Pakman,"7,841",420,540,"1,112"
2024-04-10,https://www.tiktok.com/t/ZPRErRmVF/,The Guardian,18.9K,"3,789","1,913",727
2023-12-07,https://www.tiktok.com/t/ZPREM3JfA/,Pamphlets,"8,348","1,339","1,453","2,345"
2023-05-10,https://www.tiktok.com/t/ZPREMvK2Y/,Channel 4 News,27.6K,696,"1,639","1,640"
2024-02-05,https://www.tiktok.com/t/ZPRErNRTP/,Independent,"8,902",247,719,357
2023-11-09,https://www.tiktok.com/t/ZPRErYVs5/,nbcnews,284.1K,"5,607",15.5K,12K
2024-01-16,https://www.tiktok.com/t/ZPREMK5rE/,The National Desk,"4,250",351,263,188
2023-01-09,https://www.tiktok.com/t/ZPRErYE5p/,BBC News,67.5K,"2,941","4,055","2,324"
2023-02-18,https://www.tiktok.com/t/ZPRErMqf2/,King Covey,384,44,55,87
2024-01-29,https://www.tiktok.com/t/ZPRErN1en/,Arfan Khan 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇵🇰,358.8K,"6,582",29.3K,"4,043"
2023-02-15,https://www.tiktok.com/t/ZPREMtqka/,NationalWorld,"8,650",436,843,371
