time,link,display name,likes,shares,saves,comments
2024-05-08,,Shipwreck,"2,761",87,65,131
2024-05-28,https://www.tiktok.com/t/ZPREMpYKD/,Elizabeth Prann,71,Share,1,8
2024-06-19,https://www.tiktok.com/t/ZPREMsLTr/,Fox Business,720,86,45,63
2024-04-28,https://www.tiktok.com/t/ZPREMsXVK/,Jen B,502,136,43,60
2024-05-16,https://www.tiktok.com/t/ZPREMsJFs/,equalitysouth,335,3,12,14
2024-04-23,https://www.tiktok.com/t/ZPREMg8t7/,🎙️Ike Wingate🇺🇸,29.2K,13.1K,"4,179","2,488"
2024-04-21,https://www.tiktok.com/t/ZPREMq2vj/,Rico,452,274,70,37
2024-05-07,https://www.tiktok.com/t/ZPREMfMPt/,ISN,30.7K,"4,416","1,990","1,853"
2024-05-09,https://www.tiktok.com/t/ZPREMDpYr/,Texas Scorecard,128,Share,3,4
2024-05-09,,Reason Magazine,138,3,11,9
2024-04-23,https://www.tiktok.com/t/ZPREMVYmh/,Christa Ramey,33,1,5,7
2024-05-06,https://www.tiktok.com/t/ZPREM5Ru2/,Independent Women’s Network,54,4,4,3
2024-04-19,https://www.tiktok.com/t/ZPREMPjtJ/,Lynn,14,2,0,1
2024-04-21,https://www.tiktok.com/t/ZPREMCpXV/,Brandi,213,111,34,
2024-05-04,https://www.tiktok.com/t/ZPREMaJN5/,Vital Albert,141,18,16,29
2024-05-27,https://www.tiktok.com/t/ZPREMsXwt/,The Ring Of Fire,177,15,9,7
2024-04-25,https://www.tiktok.com/t/ZPREMgArt/,The National Desk,34.4K,"2,581","1,598","4,287"
2024-06-24,https://www.tiktok.com/t/ZPREMabEe/,JJP,18.9K,"4,671","1,130","1,908"
2022-04-05,https://www.tiktok.com/t/ZPREMaK7U/,The Democrats,"2,615",36,31,105
2024-05-16,https://www.tiktok.com/t/ZPREMPe6d/,The Branch,47,Share,5,0
2022-11-15,,VERIFY,"3,591",51,114,238
2024-05-01,,OutKick Sports,287,11,22,20
2024-06-23,,MSNBC,30.5K,863,"1,003","5,425"
2024-06-21,https://www.tiktok.com/t/ZPREM47Cg/,Ryan Joseph,"3,374",410,304,417
2024-06-20,https://www.tiktok.com/t/ZPREMUf4X/,USA Today,130,10,7,60
2021-01-20,https://www.tiktok.com/t/ZPREMbeES/,cbsnews,165K,"1,060","4,013","8,111"
2024-05-31,,user65315146242480,26,Share,1,3
2024-06-19,https://www.tiktok.com/t/ZPREM55Xm/,WAFB Channel 9,100,2,3,10
2024-04-19,https://www.tiktok.com/t/ZPREMQd7n/,Greg Price,90.7K,"8,299",11K,"1,128"
2023-12-01,https://www.tiktok.com/t/ZPREM4e1G/,ndsafterdark,101.4K,"4,046","4,105","7,345"
2024-04-26,https://www.tiktok.com/t/ZPREMStY5/,MALAVÈ,74,5,9,12
2024-05-08,https://www.tiktok.com/t/ZPREMPc4R/,forARpeople,406,19,23,58
2023-12-01,https://www.tiktok.com/t/ZPREMmdHy/,Unwoke Shop ™,242.7K,"6,863",16K,"8,368"
2024-06-25,https://www.tiktok.com/t/ZPREMqDjM/,Clay Edwards,32,Share,1,3
2023-03-16,https://www.tiktok.com/t/ZPREMfcun/,Not Nebraska Nice,161,4,19,25
2022-11-11,https://www.tiktok.com/t/ZPREMqCMe/,staytunednbc,259,20,15,6
2023-06-01,https://www.tiktok.com/t/ZPREMmgMX/,Ian Corzine,442,52,79,150
2024-06-02,https://www.tiktok.com/t/ZPREMH8sS/,Ran_Dumb,"1,481",190,112,311
2024-06-03,https://www.tiktok.com/t/ZPREMDfbV/,FLY_FLY72,18,2,1,2
2023-12-06,https://www.tiktok.com/t/ZPREMX77d/,DailyDose Of Masculinity,191.2K,"2,795",12.9K,"3,526"
2024-06-18,https://www.tiktok.com/t/ZPREM5Ug6/,Lindsey,30,2,2,0
2024-06-11,https://www.tiktok.com/t/ZPREMHAe8/,ABC7LA,668,208,38,299
2024-06-11,https://www.tiktok.com/t/ZPREMXugo/,GunGnome_,"2,771",278,211,238
